loss: 0.31828269362449646, ssim: 0.9622310996055603, psnr: 53.129608154296875
loss: 0.02219279669225216, ssim: 0.998629093170166, psnr: 64.67312622070312
loss: 0.02173064462840557, ssim: 0.9986476302146912, psnr: 64.76677703857422
loss: 0.02250148169696331, ssim: 0.998635470867157, psnr: 64.61455535888672
loss: 0.02212981879711151, ssim: 0.998650848865509, psnr: 64.68832397460938
loss: 0.021813703700900078, ssim: 0.9986624121665955, psnr: 64.7466812133789
loss: 0.02274703048169613, ssim: 0.9986392259597778, psnr: 64.56513214111328
loss: 0.022044189274311066, ssim: 0.998669445514679, psnr: 64.70317840576172
loss: 0.022040298208594322, ssim: 0.9986358880996704, psnr: 64.7052230834961
loss: 0.02123936079442501, ssim: 0.998669445514679, psnr: 64.86522674560547
loss: 0.021976111456751823, ssim: 0.9986586570739746, psnr: 64.7132339477539
loss: 0.022033657878637314, ssim: 0.9986502528190613, psnr: 64.7071762084961
loss: 0.022501841187477112, ssim: 0.9986202120780945, psnr: 64.61258697509766
loss: 0.022315701469779015, ssim: 0.9986295700073242, psnr: 64.64756774902344
loss: 0.021853100508451462, ssim: 0.9986355900764465, psnr: 64.73796844482422
loss: 0.022679371759295464, ssim: 0.9986296892166138, psnr: 64.58413696289062
loss: 0.021722862496972084, ssim: 0.9986850023269653, psnr: 64.76448822021484
loss: 0.021087821573019028, ssim: 0.9986665844917297, psnr: 64.8998031616211
loss: 0.02217673696577549, ssim: 0.9986459612846375, psnr: 64.6772689819336
loss: 0.02222496084868908, ssim: 0.9986338019371033, psnr: 64.66690826416016
loss: 0.02172195166349411, ssim: 0.9986409544944763, psnr: 64.76557922363281
loss: 0.022112451493740082, ssim: 0.9986352920532227, psnr: 64.68714141845703
loss: 0.02234390191733837, ssim: 0.9986383318901062, psnr: 64.64363098144531
loss: 0.02179390750825405, ssim: 0.9986509680747986, psnr: 64.7519760131836
loss: 0.022317713126540184, ssim: 0.9986276626586914, psnr: 64.6534194946289
loss: 0.02252958156168461, ssim: 0.9986370205879211, psnr: 64.60688781738281
loss: 0.022431757301092148, ssim: 0.998638927936554, psnr: 64.62369537353516
loss: 0.022262273356318474, ssim: 0.9986257553100586, psnr: 64.6569595336914
loss: 0.02187461219727993, ssim: 0.9986730813980103, psnr: 64.73597717285156
loss: 0.022625578567385674, ssim: 0.9986094832420349, psnr: 64.5897445678711
loss: 0.022215306758880615, ssim: 0.9986417889595032, psnr: 64.66637420654297
loss: 0.022531522437930107, ssim: 0.9986264109611511, psnr: 64.6062240600586
loss: 0.022185003384947777, ssim: 0.9986472129821777, psnr: 64.67479705810547
loss: 0.022099636495113373, ssim: 0.9986627697944641, psnr: 64.69123077392578
loss: 0.02226392738521099, ssim: 0.9986478686332703, psnr: 64.65679168701172
loss: 0.022302186116576195, ssim: 0.9986643195152283, psnr: 64.6527328491211
loss: 0.02215033769607544, ssim: 0.9986343383789062, psnr: 64.68053436279297
loss: 0.021966878324747086, ssim: 0.998660683631897, psnr: 64.71898651123047
loss: 0.021859951317310333, ssim: 0.9986438155174255, psnr: 64.73533630371094
loss: 0.02237965166568756, ssim: 0.9986392259597778, psnr: 64.63552856445312
loss: 0.022457700222730637, ssim: 0.9986445307731628, psnr: 64.62200164794922
loss: 0.02248414419591427, ssim: 0.9986289143562317, psnr: 64.61734008789062
loss: 0.022227507084608078, ssim: 0.9986273050308228, psnr: 64.6629867553711
loss: 0.02207062393426895, ssim: 0.9986502528190613, psnr: 64.69528198242188
loss: 0.021755028516054153, ssim: 0.9986594319343567, psnr: 64.75820922851562
loss: 0.022390371188521385, ssim: 0.9986408352851868, psnr: 64.63468933105469
loss: 0.021510550752282143, ssim: 0.9986560940742493, psnr: 64.80858612060547
loss: 0.021899810060858727, ssim: 0.9986618161201477, psnr: 64.73030090332031
loss: 0.022403111681342125, ssim: 0.9986419081687927, psnr: 64.63431549072266
loss: 0.022375216707587242, ssim: 0.9986324310302734, psnr: 64.63664245605469
loss: 0.022197125479578972, ssim: 0.9986387491226196, psnr: 64.67292785644531
loss: 0.022304462268948555, ssim: 0.9986395835876465, psnr: 64.64891815185547
loss: 0.02245992422103882, ssim: 0.9986254572868347, psnr: 64.62419128417969
loss: 0.022282995283603668, ssim: 0.9986391067504883, psnr: 64.65652465820312
loss: 0.0220111683011055, ssim: 0.9986605644226074, psnr: 64.70832061767578
loss: 0.02218589000403881, ssim: 0.9986507296562195, psnr: 64.67244720458984
loss: 0.02225489914417267, ssim: 0.9986265301704407, psnr: 64.6618423461914
loss: 0.021963421255350113, ssim: 0.9986652731895447, psnr: 64.71675872802734
loss: 0.021640639752149582, ssim: 0.9986573457717896, psnr: 64.78284454345703
loss: 0.0221274271607399, ssim: 0.9986540079116821, psnr: 64.68329620361328
loss: 0.021951964125037193, ssim: 0.9986408352851868, psnr: 64.71985626220703
loss: 0.022781653329730034, ssim: 0.9986336827278137, psnr: 64.55918884277344
loss: 0.021868912503123283, ssim: 0.9986407160758972, psnr: 64.7350082397461
loss: 0.021937360987067223, ssim: 0.9986528754234314, psnr: 64.73149871826172
loss: 0.02245398610830307, ssim: 0.9986322522163391, psnr: 64.6208724975586
loss: 0.022121360525488853, ssim: 0.9986431002616882, psnr: 64.68431091308594
loss: 0.021976307034492493, ssim: 0.9986472129821777, psnr: 64.71585845947266
loss: 0.021859537810087204, ssim: 0.998665988445282, psnr: 64.73857879638672
loss: 0.0223072599619627, ssim: 0.9986369013786316, psnr: 64.6554183959961
loss: 0.022065093740820885, ssim: 0.99864262342453, psnr: 64.70040130615234
loss: 0.022371726110577583, ssim: 0.9986384510993958, psnr: 64.63652801513672
loss: 0.02225520648062229, ssim: 0.9986217617988586, psnr: 64.66019439697266
loss: 0.021760806441307068, ssim: 0.9986802339553833, psnr: 64.75788116455078
loss: 0.02237650379538536, ssim: 0.9986411333084106, psnr: 64.64363098144531
loss: 0.023006904870271683, ssim: 0.998607337474823, psnr: 64.51875305175781
loss: 0.022251393646001816, ssim: 0.9986439943313599, psnr: 64.66353607177734
loss: 0.021692242473363876, ssim: 0.9986625909805298, psnr: 64.77149200439453
loss: 0.021998560056090355, ssim: 0.9986452460289001, psnr: 64.7122802734375
